Matrix_Size,Algorithm,Avg_Time_s,Min_Time_s,Max_Time_s,Std_Time_s,Speedup_vs_NumPy,NumPy_Time_s
100,LongNums WINOGRAD,0.0007347265879313151,0.000720977783203125,0.0007441043853759766,1.216713649630968e-05,0.03407247160627366,2.5033950805664062e-05
100,LongNums ALPHA_TENSOR,0.0008637905120849609,0.0008361339569091797,0.0009121894836425781,4.205706438509187e-05,0.028981507038365995,2.5033950805664062e-05
100,LongNums AUTO,0.0007033348083496094,0.0006899833679199219,0.0007119178771972656,1.1718946196980007e-05,0.03559322033898305,2.5033950805664062e-05
130,NumPy matmul,3.679593404134115e-05,1.9073486328125e-05,5.412101745605469e-05,1.7527144186378267e-05,1.0,3.679593404134115e-05
130,LongNums NAIVE,0.0015276273091634114,0.0015177726745605469,0.0015468597412109375,1.665748106004899e-05,0.02408698366455104,3.679593404134115e-05
130,LongNums NAIVE_TRANSPOSED,0.0014319419860839844,0.0013990402221679688,0.0014598369598388672,3.0706054592607995e-05,0.0256965256965257,3.679593404134115e-05
130,LongNums SIMD_NAIVE,0.0016709168752034504,0.001583099365234375,0.0017578601837158203,8.738368892543019e-05,0.022021403091557673,3.679593404134115e-05
130,LongNums ARM_NEON,0.0008460680643717448,0.0007953643798828125,0.0008909702301025391,4.806623413566917e-05,0.04349051286868308,3.679593404134115e-05
130,LongNums STRASSEN,0.0025736490885416665,0.002524137496948242,0.0026018619537353516,4.301743373797455e-05,0.014297183794466406,3.679593404134115e-05
130,LongNums WINOGRAD,0.0027473767598470054,0.002581357955932617,0.002833127975463867,0.00014380264247230423,0.01339311541799248,3.679593404134115e-05
130,LongNums ALPHA_TENSOR,0.0017549991607666016,0.0017278194427490234,0.0017850399017333984,2.8717317437960717e-05,0.020966354209120137,3.679593404134115e-05
130,LongNums AUTO,0.0027153491973876953,0.0026102066040039062,0.0028328895568847656,0.00011185795827469978,0.013551087306465304,3.679593404134115e-05
160,NumPy matmul,3.4014383951822914e-05,2.5987625122070312e-05,4.410743713378906e-05,9.234937796081735e-06,1.0,3.4014383951822914e-05
160,LongNums NAIVE,0.0032399495442708335,0.0028998851776123047,0.0038840770721435547,0.0005581211569372092,0.010498430141287284,3.4014383951822914e-05
160,LongNums NAIVE_TRANSPOSED,0.0026300748189290366,0.002601146697998047,0.002662181854248047,3.064150285365019e-05,0.012932857919864626,3.4014383951822914e-05
160,LongNums SIMD_NAIVE,0.003072659174601237,0.002991199493408203,0.0031638145446777344,8.671501466522055e-05,0.011070015260067765,3.4014383951822914e-05
160,LongNums ARM_NEON,0.0015608469645182292,0.0015239715576171875,0.0016026496887207031,3.956982335476422e-05,0.021792260692464357,3.4014383951822914e-05
